,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type_x,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,property_type,room_type_y,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,LSOA11CD
1632,713722935171184837,Home in Southville · ★5.0 · 2 bedrooms · 2 beds · 1 bath,126233530,Peter,,Southville,51.4418252,-2.6054664,Entire home/apt,100.0,3,4,2023-03-20,0.37,2,188,4,,Entire home,Entire home/apt,4,,1 bath,,2.0,[],E01014698
1633,713747897856341253,Home in Southville · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,126233530,Peter,,Southville,51.44281,-2.60432,Private room,50.0,3,8,2023-12-10,0.76,2,37,8,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014698
1634,714194496650794954,Home in Bedminster · ★4.90 · 1 bedroom · 1 bed · 1 private bath,37611118,Emma,,Bedminster,51.43975,-2.60308,Private room,70.0,1,80,2023-12-18,5.48,1,0,63,,Private room in home,Private room,2,,1 private bath,,1.0,[],E01033362
1635,714308373733589743,Townhouse in Saint Werburgh's · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,478850941,Sara,,Ashley,51.4691,-2.57685,Private room,37.0,1,91,2023-12-08,6.36,2,76,73,,Private room in townhouse,Private room,1,,1 shared bath,,1.0,[],E01014486
1636,714389969099959755,Rental unit in Redland · ★4.73 · 1 bedroom · 1 bed · 2 baths,65192629,Hopewell,,Cotham,51.46954,-2.60199,Entire home/apt,,1,29,2023-11-05,1.92,160,0,15,,Entire rental unit,Entire home/apt,2,,2 baths,,1.0,[],E01014561
1637,714407001452725844,Townhouse in Bristol City · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,2914031,Charlie,,Windmill Hill,51.44219,-2.57123,Private room,53.0,1,9,2023-08-01,0.59,1,22,6,,Private room in townhouse,Private room,1,,1 shared bath,,1.0,[],E01014732
1638,714505521907618282,Home in Saint Andrew's · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,20053922,Joanna,,Ashley,51.47274926188785,-2.5836901366710663,Entire home/apt,,2,6,2023-07-09,0.41,1,0,4,,Entire home,Entire home/apt,6,,1.5 baths,,4.0,[],E01014491
1639,714938413763580856,Rental unit in Bristol City · ★4.0 · Studio · 1 bed · 1 bath,65192629,Hopewell,,Central,51.45454,-2.60117,Entire home/apt,77.0,1,6,2023-12-04,1.15,160,0,6,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014542
1640,714981042941994423,Condo in Bedminster · ★4.88 · 2 bedrooms · 2 beds · 2 baths,276357822,Tom,,Bedminster,51.43676322647046,-2.605241627508541,Entire home/apt,104.0,2,8,2023-10-16,0.52,1,239,7,,Entire condo,Entire home/apt,3,,2 baths,,2.0,[],E01033364
1641,715043735057081082,Villa in Montpelier · 2 bedrooms · 2 beds · 2.5 baths,12312897,Mathew,,Ashley,51.46646161706055,-2.5858457487030497,Entire home/apt,350.0,3,0,,,1,65,0,,Entire villa,Entire home/apt,4,,2.5 baths,,2.0,[],E01014489
